timestamp,Net Electricity Consumption-kWh,Non-shiftable Load-kWh,Non-shiftable Load Electricity Consumption-kWh,Energy Production from PV-kWh
2025-01-01T00:00:00,3.0,3.0,3.0,-0.0
2025-01-01T00:15:00,2.75,2.75,2.75,-0.0
2025-01-01T00:30:00,3.0,3.0,3.0,-0.0
2025-01-01T00:45:00,2.75,2.75,2.75,-0.0
2025-01-01T01:00:00,3.0,3.0,3.0,-0.0
2025-01-01T01:15:00,3.0,3.0,3.0,-0.0
2025-01-01T01:30:00,3.5,3.5,3.5,-0.0
2025-01-01T01:45:00,4.0,4.0,4.0,-0.0
2025-01-01T02:00:00,3.75,3.75,3.75,-0.0
2025-01-01T02:15:00,4.0,4.0,4.0,-0.0
2025-01-01T02:30:00,4.25,4.25,4.25,-0.0
2025-01-01T02:45:00,4.25,4.25,4.25,-0.0
2025-01-01T03:00:00,5.0,5.0,5.0,-0.0
2025-01-01T03:15:00,4.25,4.25,4.25,-0.0
2025-01-01T03:30:00,4.25,4.25,4.25,-0.0
2025-01-01T03:45:00,3.75,3.75,3.75,-0.0
2025-01-01T04:00:00,3.75,3.75,3.75,-0.0
2025-01-01T04:15:00,3.25,3.25,3.25,-0.0
2025-01-01T04:30:00,2.75,2.75,2.75,-0.0
2025-01-01T04:45:00,3.0,3.0,3.0,-0.0
2025-01-01T05:00:00,2.75,2.75,2.75,-0.0
2025-01-01T05:15:00,3.25,3.25,3.25,-0.0
2025-01-01T05:30:00,3.0,3.0,3.0,-0.0
2025-01-01T05:45:00,3.25,3.25,3.25,-0.0
2025-01-01T06:00:00,3.5,3.5,3.5,-0.0
2025-01-01T06:15:00,4.25,4.25,4.25,-0.0
2025-01-01T06:30:00,5.25,5.25,5.25,-0.0
2025-01-01T06:45:00,5.25,5.25,5.25,-0.0
2025-01-01T07:00:00,5.5,5.5,5.5,-0.0
2025-01-01T07:15:00,6.25,6.25,6.25,-0.0
2025-01-01T07:30:00,7.75,7.75,7.75,-0.0
2025-01-01T07:45:00,6.75,6.75,6.75,-0.0
2025-01-01T08:00:00,6.002500057220459,6.002500057220459,6.002500057220459,-0.0
2025-01-01T08:15:00,6.547500133514404,6.547500133514404,6.547500133514404,-0.0
2025-01-01T08:30:00,5.614999771118164,5.614999771118164,5.614999771118164,-0.0
2025-01-01T08:45:00,5.465000152587891,5.465000152587891,5.465000152587891,-0.0
2025-01-01T09:00:00,3.897202491760254,4.114999771118164,4.114999771118164,-0.21779724955558777
2025-01-01T09:15:00,3.272224187850952,3.674999952316284,3.674999952316284,-0.40277573466300964
2025-01-01T09:30:00,3.455723762512207,4.130000114440918,4.130000114440918,-0.6742764115333557
2025-01-01T09:45:00,4.017225742340088,4.78249979019165,4.78249979019165,-0.7652738690376282
2025-01-01T10:00:00,5.9417314529418945,6.835000038146973,6.835000038146973,-0.8932685852050781
2025-01-01T10:15:00,4.0819549560546875,5.582499980926514,5.582499980926514,-1.5005451440811157
2025-01-01T10:30:00,1.9501794576644897,3.799999952316284,3.799999952316284,-1.8498204946517944
2025-01-01T10:45:00,1.8951973915100098,3.930000066757202,3.930000066757202,-2.0348026752471924
2025-01-01T11:00:00,3.700544595718384,5.642499923706055,5.642499923706055,-1.941955327987671
2025-01-01T11:15:00,6.746571063995361,8.725000381469727,8.725000381469727,-1.9784291982650757
2025-01-01T11:30:00,3.3637282848358154,5.434999942779541,5.434999942779541,-2.0712716579437256
2025-01-01T11:45:00,2.4264914989471436,4.547500133514404,4.547500133514404,-2.1210086345672607
2025-01-01T12:00:00,1.8832294940948486,4.224999904632568,4.224999904632568,-2.3417704105377197
2025-01-01T12:15:00,2.147785186767578,4.502500057220459,4.502500057220459,-2.354714870452881
2025-01-01T12:30:00,4.712623596191406,7.125,7.125,-2.412376642227173
2025-01-01T12:45:00,2.00364351272583,4.452499866485596,4.452499866485596,-2.4488563537597656
2025-01-01T13:00:00,2.1732945442199707,4.485000133514404,4.485000133514404,-2.3117055892944336
2025-01-01T13:15:00,1.991668701171875,4.362500190734863,4.362500190734863,-2.3708314895629883
2025-01-01T13:30:00,2.954129934310913,5.292500019073486,5.292500019073486,-2.3383700847625732
2025-01-01T13:45:00,2.200673818588257,3.887500047683716,3.887500047683716,-1.686826229095459
